Player ID,Position,Name,Team,Opponent,Salary,FPPG,Form,Playing Status
7023955,SG,Hugo Gonzalez,Boston Celtics,Charlotte Hornets,6730,11.33,25.67,
7023957,SF,Kon Knueppel,Charlotte Hornets,Boston Celtics,14440,33.63,34.17,EXPECTED STARTER
7023957,SG,Kon Knueppel,Charlotte Hornets,Boston Celtics,14440,33.63,34.17,EXPECTED STARTER
7023958,SF,Liam McNeeley,Charlotte Hornets,Boston Celtics,6000,8.77,5.67,
7023963,C,Yanic Konan Niederhauser,LA Clippers,Indiana Pacers,7160,9.8,21.75,
7023964,PF,Asa Newell,Atlanta Hawks,Milwaukee Bucks,6000,9.82,3.58,
7023971,C,Yang Hansen,Portland Trail Blazers,Memphis Grizzlies,6000,5.49,4.25,
7023972,SG,Cedric Coward,Memphis Grizzlies,Portland Trail Blazers,10390,27.35,20.08,DOUBTFUL TO PLAY
7023975,C,Thomas Sorber,Oklahoma City Thunder,New York Knicks,6000,0,0,OUT
7023976,PG,Walter Clayton,Memphis Grizzlies,Portland Trail Blazers,9040,16.8,30.17,EXPECTED STARTER
7023977,SF,Ace Bailey,Utah Jazz,Philadelphia 76ers,12420,21.88,31.5,EXPECTED STARTER
7023977,SG,Ace Bailey,Utah Jazz,Philadelphia 76ers,12420,21.88,31.5,EXPECTED STARTER
7023979,PF,Johni Broome,Philadelphia 76ers,Utah Jazz,6000,4.05,3.08,OUT
7023983,PF,Amari Williams,Boston Celtics,Charlotte Hornets,6000,5.53,1.58,
7023983,C,Amari Williams,Boston Celtics,Charlotte Hornets,6000,5.53,1.58,
7023984,SG,Max Shulga,Boston Celtics,Charlotte Hornets,6000,0,0,
7023987,SF,Mohamed Diawara,New York Knicks,Oklahoma City Thunder,6000,6.47,17.42,
7023989,C,Ryan Kalkbrenner,Charlotte Hornets,Boston Celtics,7740,20.37,15.17,
7023990,SG,Sion James,Charlotte Hornets,Boston Celtics,6000,14.66,15,
7023993,SG,Kam Jones,Indiana Pacers,LA Clippers,7770,10.41,23.17,
7023994,SG,Taelon Peter,Indiana Pacers,LA Clippers,8880,8.44,25.17,
7023994,PG,Taelon Peter,Indiana Pacers,LA Clippers,8880,8.44,25.17,
7023999,PG,Javon Small,Memphis Grizzlies,Portland Trail Blazers,11320,17.99,25.67,EXPECTED STARTER
7023999,SG,Javon Small,Memphis Grizzlies,Portland Trail Blazers,11320,17.99,25.67,EXPECTED STARTER
7024004,SG,Jahmai Mashack,Memphis Grizzlies,Portland Trail Blazers,6130,11.44,12.67,
7024005,SG,Kobe Sanders,LA Clippers,Indiana Pacers,6000,13.86,12.92,
7024010,SG,Brooks Barnhizer,Oklahoma City Thunder,New York Knicks,6000,4.92,2.83,
7024010,PG,Brooks Barnhizer,Oklahoma City Thunder,New York Knicks,6000,4.92,2.83,
7024012,SG,John Tonje,Boston Celtics,Charlotte Hornets,6000,2,2,
7024016,SG,Caleb Love,Portland Trail Blazers,Memphis Grizzlies,7700,20.27,15.17,
7024016,PG,Caleb Love,Portland Trail Blazers,Memphis Grizzlies,7700,20.27,15.17,
7024032,PF,Norchad Omier,LA Clippers,Indiana Pacers,6000,1.25,1.25,
7024035,C,Lawson Lovering,Memphis Grizzlies,Portland Trail Blazers,8690,22.88,22.88,
7024036,SG,Keshon Gilbert,Atlanta Hawks,Milwaukee Bucks,6000,8.58,8.58,
7024043,SG,Chris Youngblood,Portland Trail Blazers,Memphis Grizzlies,6000,4.3,9.83,
7024218,SF,Alex Antetokounmpo,Milwaukee Bucks,Atlanta Hawks,6000,0,0,
7024243,SG,Sean Pedulla,LA Clippers,Indiana Pacers,6000,0,0,
7024245,SF,Payton Sandfort,Oklahoma City Thunder,New York Knicks,6000,0,0,
7024246,SF,Jayson Kent,Portland Trail Blazers,Memphis Grizzlies,6000,0,0,
